Id,Label,electrode,time_idx,time_s
0,FP1-F7_t0,FP1-F7,0,2996.0
1,FP1-F7_t1,FP1-F7,1,2996.00390625
2,FP1-F7_t2,FP1-F7,2,2996.0078125
3,FP1-F7_t3,FP1-F7,3,2996.01171875
4,FP1-F7_t4,FP1-F7,4,2996.015625
5,FP1-F7_t5,FP1-F7,5,2996.01953125
6,FP1-F7_t6,FP1-F7,6,2996.0234375
7,FP1-F7_t7,FP1-F7,7,2996.02734375
8,FP1-F7_t8,FP1-F7,8,2996.03125
9,FP1-F7_t9,FP1-F7,9,2996.03515625
10,FP1-F7_t10,FP1-F7,10,2996.0390625
11,FP1-F7_t11,FP1-F7,11,2996.04296875
12,FP1-F7_t12,FP1-F7,12,2996.046875
13,FP1-F7_t13,FP1-F7,13,2996.05078125
14,FP1-F7_t14,FP1-F7,14,2996.0546875
15,FP1-F7_t15,FP1-F7,15,2996.05859375
16,FP1-F7_t16,FP1-F7,16,2996.0625
17,FP1-F7_t17,FP1-F7,17,2996.06640625
18,FP1-F7_t18,FP1-F7,18,2996.0703125
19,FP1-F7_t19,FP1-F7,19,2996.07421875
20,FP1-F7_t20,FP1-F7,20,2996.078125
21,FP1-F7_t21,FP1-F7,21,2996.08203125
22,FP1-F7_t22,FP1-F7,22,2996.0859375
23,FP1-F7_t23,FP1-F7,23,2996.08984375
24,FP1-F7_t24,FP1-F7,24,2996.09375
25,FP1-F7_t25,FP1-F7,25,2996.09765625
26,FP1-F7_t26,FP1-F7,26,2996.1015625
27,FP1-F7_t27,FP1-F7,27,2996.10546875
28,FP1-F7_t28,FP1-F7,28,2996.109375
29,FP1-F7_t29,FP1-F7,29,2996.11328125
30,FP1-F7_t30,FP1-F7,30,2996.1171875
31,FP1-F7_t31,FP1-F7,31,2996.12109375
32,FP1-F7_t32,FP1-F7,32,2996.125
33,FP1-F7_t33,FP1-F7,33,2996.12890625
34,FP1-F7_t34,FP1-F7,34,2996.1328125
35,FP1-F7_t35,FP1-F7,35,2996.13671875
36,FP1-F7_t36,FP1-F7,36,2996.140625
37,FP1-F7_t37,FP1-F7,37,2996.14453125
