Source,Target,Type,Weight,edge_type,layer,source_label,target_label
10454,25814,Undirected,1.0,inter,FP2-F4<->FT9-FT10,FP2-F4_t214,FT9-FT10_t214
2442,15242,Undirected,1.0,inter,F7-T7<->P4-O2,F7-T7_t1162,P4-O2_t1162
6904,20984,Undirected,1.0,inter,F3-C3<->FZ-CZ,F3-C3_t504,FZ-CZ_t504
8447,23807,Undirected,1.0,inter,C3-P3<->P7-T7,C3-P3_t767,P7-T7_t767
6848,20928,Undirected,1.0,inter,F3-C3<->FZ-CZ,F3-C3_t448,FZ-CZ_t448
6163,21523,Undirected,1.0,inter,FP1-F3<->FZ-CZ,FP1-F3_t1043,FZ-CZ_t1043
7362,24002,Undirected,1.0,inter,F3-C3<->P7-T7,F3-C3_t962,P7-T7_t962
19744,19745,Undirected,1.0,intra,P8-O2,P8-O2_t544,P8-O2_t545
27643,27722,Undirected,1.0,intra,FT10-T8,FT10-T8_t763,FT10-T8_t842
3081,27401,Undirected,1.0,inter,T7-P7<->FT10-T8,T7-P7_t521,FT10-T8_t521
6954,24874,Undirected,1.0,inter,F3-C3<->T7-FT9,F3-C3_t554,T7-FT9_t554
5361,24561,Undirected,1.0,inter,FP1-F3<->T7-FT9,FP1-F3_t241,T7-FT9_t241
8781,15181,Undirected,1.0,inter,C3-P3<->P4-O2,C3-P3_t1101,P4-O2_t1101
24293,25573,Undirected,1.0,inter,P7-T7<->T7-FT9,P7-T7_t1253,T7-FT9_t1253
573,10813,Undirected,1.0,inter,FP1-F7<->FP2-F4,FP1-F7_t573,FP2-F4_t573
16217,18777,Undirected,1.0,inter,FP2-F8<->T8-P8-0,FP2-F8_t857,T8-P8-0_t857
2771,2818,Undirected,1.0,intra,T7-P7,T7-P7_t211,T7-P7_t258
13496,28856,Undirected,1.0,inter,C4-P4<->T8-P8-1,C4-P4_t696,T8-P8-1_t696
7768,15448,Undirected,1.0,inter,C3-P3<->FP2-F8,C3-P3_t88,FP2-F8_t88
647,27527,Undirected,1.0,inter,FP1-F7<->FT10-T8,FP1-F7_t647,FT10-T8_t647
10617,14457,Undirected,1.0,inter,FP2-F4<->P4-O2,FP2-F4_t377,P4-O2_t377
26281,28841,Undirected,1.0,inter,FT9-FT10<->T8-P8-1,FT9-FT10_t681,T8-P8-1_t681
3549,9949,Undirected,1.0,inter,T7-P7<->P3-O1,T7-P7_t989,P3-O1_t989
9899,20139,Undirected,1.0,inter,P3-O1<->P8-O2,P3-O1_t939,P8-O2_t939
189,14269,Undirected,1.0,inter,FP1-F7<->P4-O2,FP1-F7_t189,P4-O2_t189
704,8384,Undirected,1.0,inter,FP1-F7<->C3-P3,FP1-F7_t704,C3-P3_t704
3478,25238,Undirected,1.0,inter,T7-P7<->T7-FT9,T7-P7_t918,T7-FT9_t918
17202,18482,Undirected,1.0,inter,F8-T8<->T8-P8-0,F8-T8_t562,T8-P8-0_t562
18158,20718,Undirected,1.0,inter,T8-P8-0<->FZ-CZ,T8-P8-0_t238,FZ-CZ_t238
23031,23032,Undirected,1.0,intra,CZ-PZ,CZ-PZ_t1271,CZ-PZ_t1272
1257,8937,Undirected,1.0,inter,FP1-F7<->C3-P3,FP1-F7_t1257,C3-P3_t1257
9163,15563,Undirected,1.0,inter,P3-O1<->FP2-F8,P3-O1_t203,FP2-F8_t203
2619,10299,Undirected,1.0,inter,T7-P7<->FP2-F4,T7-P7_t59,FP2-F4_t59
5553,13233,Undirected,1.0,inter,FP1-F3<->C4-P4,FP1-F3_t433,C4-P4_t433
17754,29274,Undirected,1.0,inter,F8-T8<->T8-P8-1,F8-T8_t1114,T8-P8-1_t1114
2042,22522,Undirected,1.0,inter,F7-T7<->CZ-PZ,F7-T7_t762,CZ-PZ_t762
2412,6252,Undirected,1.0,inter,F7-T7<->FP1-F3,F7-T7_t1132,FP1-F3_t1132
7388,13788,Undirected,1.0,inter,F3-C3<->C4-P4,F3-C3_t988,C4-P4_t988
5059,29379,Undirected,1.0,inter,P7-O1<->T8-P8-1,P7-O1_t1219,T8-P8-1_t1219
19666,28626,Undirected,1.0,inter,P8-O2<->T8-P8-1,P8-O2_t466,T8-P8-1_t466
11478,11480,Undirected,1.0,intra,FP2-F4,FP2-F4_t1238,FP2-F4_t1240
11817,24617,Undirected,1.0,inter,F4-C4<->T7-FT9,F4-C4_t297,T7-FT9_t297
10878,26238,Undirected,1.0,inter,FP2-F4<->FT9-FT10,FP2-F4_t638,FT9-FT10_t638
18386,24786,Undirected,1.0,inter,T8-P8-0<->T7-FT9,T8-P8-0_t466,T7-FT9_t466
5805,10925,Undirected,1.0,inter,FP1-F3<->FP2-F4,FP1-F3_t685,FP2-F4_t685
29183,29249,Undirected,1.0,intra,T8-P8-1,T8-P8-1_t1023,T8-P8-1_t1089
6977,14657,Undirected,1.0,inter,F3-C3<->P4-O2,F3-C3_t577,P4-O2_t577
6156,16396,Undirected,1.0,inter,FP1-F3<->FP2-F8,FP1-F3_t1036,FP2-F8_t1036
8741,15141,Undirected,1.0,inter,C3-P3<->P4-O2,C3-P3_t1061,P4-O2_t1061
10334,28254,Undirected,1.0,inter,FP2-F4<->T8-P8-1,FP2-F4_t94,T8-P8-1_t94
1151,20351,Undirected,1.0,inter,FP1-F7<->P8-O2,FP1-F7_t1151,P8-O2_t1151
26942,28222,Undirected,1.0,inter,FT10-T8<->T8-P8-1,FT10-T8_t62,T8-P8-1_t62
5268,9108,Undirected,1.0,inter,FP1-F3<->P3-O1,FP1-F3_t148,P3-O1_t148
