Source,Target,Type,Weight,edge_type,layer,source_label,target_label
2194,14994,Undirected,1.0,inter,F7-T7<->P4-O2,F7-T7_t914,P4-O2_t914
1916,21116,Undirected,1.0,inter,F7-T7<->FZ-CZ,F7-T7_t636,FZ-CZ_t636
7590,29350,Undirected,1.0,inter,F3-C3<->T8-P8-1,F3-C3_t1190,T8-P8-1_t1190
17637,21477,Undirected,1.0,inter,F8-T8<->FZ-CZ,F8-T8_t997,FZ-CZ_t997
7071,28831,Undirected,1.0,inter,F3-C3<->T8-P8-1,F3-C3_t671,T8-P8-1_t671
10508,28428,Undirected,1.0,inter,FP2-F4<->T8-P8-1,FP2-F4_t268,T8-P8-1_t268
399,4239,Undirected,1.0,inter,FP1-F7<->P7-O1,FP1-F7_t399,P7-O1_t399
8215,8216,Undirected,1.0,intra,C3-P3,C3-P3_t535,C3-P3_t536
10320,26960,Undirected,1.0,inter,FP2-F4<->FT10-T8,FP2-F4_t80,FT10-T8_t80
12524,18924,Undirected,1.0,inter,F4-C4<->T8-P8-0,F4-C4_t1004,T8-P8-0_t1004
3393,3415,Undirected,1.0,intra,T7-P7,T7-P7_t833,T7-P7_t855
22347,24907,Undirected,1.0,inter,CZ-PZ<->T7-FT9,CZ-PZ_t587,T7-FT9_t587
10004,22804,Undirected,1.0,inter,P3-O1<->CZ-PZ,P3-O1_t1044,CZ-PZ_t1044
9292,16972,Undirected,1.0,inter,P3-O1<->F8-T8,P3-O1_t332,F8-T8_t332
13839,21519,Undirected,1.0,inter,C4-P4<->FZ-CZ,C4-P4_t1039,FZ-CZ_t1039
24240,24241,Undirected,1.0,intra,P7-T7,P7-T7_t1200,P7-T7_t1201
26744,26745,Undirected,1.0,intra,FT9-FT10,FT9-FT10_t1144,FT9-FT10_t1145
15315,28115,Undirected,1.0,inter,P4-O2<->FT10-T8,P4-O2_t1235,FT10-T8_t1235
6108,27868,Undirected,1.0,inter,FP1-F3<->FT10-T8,FP1-F3_t988,FT10-T8_t988
22213,23493,Undirected,1.0,inter,CZ-PZ<->P7-T7,CZ-PZ_t453,P7-T7_t453
1442,6562,Undirected,1.0,inter,F7-T7<->F3-C3,F7-T7_t162,F3-C3_t162
25993,25994,Undirected,1.0,intra,FT9-FT10,FT9-FT10_t393,FT9-FT10_t394
9772,23852,Undirected,1.0,inter,P3-O1<->P7-T7,P3-O1_t812,P7-T7_t812
8261,10821,Undirected,1.0,inter,C3-P3<->FP2-F4,C3-P3_t581,FP2-F4_t581
18691,28931,Undirected,1.0,inter,T8-P8-0<->T8-P8-1,T8-P8-0_t771,T8-P8-1_t771
7681,7754,Undirected,1.0,intra,C3-P3,C3-P3_t1,C3-P3_t74
1490,7890,Undirected,1.0,inter,F7-T7<->C3-P3,F7-T7_t210,C3-P3_t210
2147,20067,Undirected,1.0,inter,F7-T7<->P8-O2,F7-T7_t867,P8-O2_t867
4278,22198,Undirected,1.0,inter,P7-O1<->CZ-PZ,P7-O1_t438,CZ-PZ_t438
29255,29256,Undirected,1.0,intra,T8-P8-1,T8-P8-1_t1095,T8-P8-1_t1096
15323,24283,Undirected,1.0,inter,P4-O2<->P7-T7,P4-O2_t1243,P7-T7_t1243
17680,21520,Undirected,1.0,inter,F8-T8<->FZ-CZ,F8-T8_t1040,FZ-CZ_t1040
6628,19428,Undirected,1.0,inter,F3-C3<->P8-O2,F3-C3_t228,P8-O2_t228
16481,21601,Undirected,1.0,inter,FP2-F8<->FZ-CZ,FP2-F8_t1121,FZ-CZ_t1121
4954,8794,Undirected,1.0,inter,P7-O1<->C3-P3,P7-O1_t1114,C3-P3_t1114
13162,17002,Undirected,1.0,inter,C4-P4<->F8-T8,C4-P4_t362,F8-T8_t362
250,5370,Undirected,1.0,inter,FP1-F7<->FP1-F3,FP1-F7_t250,FP1-F3_t250
10076,17756,Undirected,1.0,inter,P3-O1<->F8-T8,P3-O1_t1116,F8-T8_t1116
11679,16799,Undirected,1.0,inter,F4-C4<->F8-T8,F4-C4_t159,F8-T8_t159
4258,4305,Undirected,1.0,intra,P7-O1,P7-O1_t418,P7-O1_t465
8803,25443,Undirected,1.0,inter,C3-P3<->T7-FT9,C3-P3_t1123,T7-FT9_t1123
5259,24459,Undirected,1.0,inter,FP1-F3<->T7-FT9,FP1-F3_t139,T7-FT9_t139
6884,12004,Undirected,1.0,inter,F3-C3<->F4-C4,F3-C3_t484,F4-C4_t484
15975,15976,Undirected,1.0,intra,FP2-F8,FP2-F8_t615,FP2-F8_t616
13868,22828,Undirected,1.0,inter,C4-P4<->CZ-PZ,C4-P4_t1068,CZ-PZ_t1068
1546,28426,Undirected,1.0,inter,F7-T7<->T8-P8-1,F7-T7_t266,T8-P8-1_t266
2891,24651,Undirected,1.0,inter,T7-P7<->T7-FT9,T7-P7_t331,T7-FT9_t331
8923,15323,Undirected,1.0,inter,C3-P3<->P4-O2,C3-P3_t1243,P4-O2_t1243
