source,target,weight,distance,electrode
e0_t86,e0_t110,0.1333,24,FP1
e0_t108,e0_t109,0.3333,1,FP1
e0_t109,e0_t110,0.4667,1,FP1
e0_t165,e0_t177,0.0667,12,FP1
e0_t175,e0_t176,0.2,1,FP1
e0_t176,e0_t177,0.2,1,FP1
e0_t177,e0_t178,0.2,1,FP1
e0_t191,e0_t214,0.0667,23,FP1
e0_t212,e0_t213,0.3333,1,FP1
e0_t213,e0_t214,0.3333,1,FP1
e0_t214,e0_t215,0.4,1,FP1
e0_t48,e0_t49,0.2667,1,FP1
e0_t48,e0_t67,0.0667,19,FP1
e0_t48,e0_t68,0.0667,20,FP1
e0_t49,e0_t50,0.2667,1,FP1
e0_t200,e0_t201,0.3333,1,FP1
e0_t201,e0_t202,0.3333,1,FP1
e0_t228,e0_t229,0.3333,1,FP1
e0_t231,e0_t239,0.0667,8,FP1
e0_t233,e0_t238,0.1333,5,FP1
e0_t237,e0_t238,0.4,1,FP1
e0_t238,e0_t239,0.2667,1,FP1
e0_t239,e0_t240,0.3333,1,FP1
e0_t27,e0_t110,0.0667,83,FP1
e0_t62,e0_t63,0.3333,1,FP1
e0_t87,e0_t110,0.1333,23,FP1
e0_t88,e0_t110,0.1333,22,FP1
e0_t89,e0_t110,0.0667,21,FP1
e0_t92,e0_t109,0.0667,17,FP1
e0_t93,e0_t109,0.0667,16,FP1
e0_t94,e0_t109,0.1333,15,FP1
e0_t95,e0_t109,0.0667,14,FP1
e0_t96,e0_t109,0.0667,13,FP1
e0_t98,e0_t108,0.1333,10,FP1
e0_t99,e0_t108,0.0667,9,FP1
e0_t103,e0_t107,0.0667,4,FP1
e0_t106,e0_t107,0.2,1,FP1
e0_t107,e0_t108,0.2667,1,FP1
e0_t112,e0_t113,0.3333,1,FP1
e0_t113,e0_t114,0.1333,1,FP1
e0_t121,e0_t122,0.4,1,FP1
e0_t122,e0_t123,0.3333,1,FP1
e0_t122,e0_t165,0.0667,43,FP1
e0_t122,e0_t166,0.0667,44,FP1
e0_t143,e0_t144,0.2,1,FP1
e0_t148,e0_t158,0.0667,10,FP1
e0_t156,e0_t157,0.1333,1,FP1
e0_t157,e0_t158,0.2,1,FP1
e0_t236,e0_t237,0.6,1,FP1
e0_t8,e0_t9,0.2,1,FP1
e0_t44,e0_t110,0.0667,66,FP1
e0_t45,e0_t110,0.0667,65,FP1
e0_t46,e0_t110,0.0667,64,FP1
e0_t61,e0_t62,0.2,1,FP1
e0_t94,e0_t95,0.2,1,FP1
e0_t94,e0_t108,0.0667,14,FP1
e0_t97,e0_t108,0.0667,11,FP1
e0_t110,e0_t111,0.2,1,FP1
e0_t120,e0_t121,0.3333,1,FP1
e0_t169,e0_t174,0.0667,5,FP1
e0_t173,e0_t174,0.2,1,FP1
e0_t215,e0_t216,0.4,1,FP1
e0_t15,e0_t16,0.2,1,FP1
e0_t15,e0_t21,0.0667,6,FP1
e0_t15,e0_t22,0.0667,7,FP1
e0_t15,e0_t23,0.0667,8,FP1
e0_t16,e0_t17,0.2,1,FP1
e0_t16,e0_t19,0.0667,3,FP1
e0_t19,e0_t20,0.1333,1,FP1
e0_t25,e0_t26,0.3333,1,FP1
e0_t34,e0_t35,0.3333,1,FP1
e0_t35,e0_t36,0.2,1,FP1
e0_t35,e0_t40,0.0667,5,FP1
e0_t80,e0_t81,0.1333,1,FP1
e0_t91,e0_t92,0.3333,1,FP1
e0_t92,e0_t93,0.3333,1,FP1
e0_t119,e0_t120,0.3333,1,FP1
e0_t123,e0_t124,0.2667,1,FP1
e0_t124,e0_t125,0.3333,1,FP1
e0_t128,e0_t179,0.0667,51,FP1
e0_t161,e0_t178,0.0667,17,FP1
e0_t162,e0_t178,0.0667,16,FP1
e0_t178,e0_t179,0.2,1,FP1
e0_t181,e0_t182,0.2667,1,FP1
e0_t181,e0_t197,0.0667,16,FP1
e0_t182,e0_t183,0.3333,1,FP1
e0_t182,e0_t189,0.1333,7,FP1
e0_t105,e0_t106,0.3333,1,FP1
e0_t212,e0_t221,0.0667,9,FP1
e0_t220,e0_t221,0.2,1,FP1
e0_t16,e0_t124,0.0667,108,FP1
e0_t17,e0_t18,0.2667,1,FP1
e0_t18,e0_t19,0.2667,1,FP1
e0_t31,e0_t66,0.0667,35,FP1
e0_t36,e0_t64,0.0667,28,FP1
e0_t39,e0_t40,0.2667,1,FP1
e0_t40,e0_t41,0.2667,1,FP1
e0_t40,e0_t58,0.0667,18,FP1
e0_t41,e0_t42,0.2667,1,FP1
e0_t41,e0_t55,0.0667,14,FP1
e0_t60,e0_t61,0.2667,1,FP1
e0_t63,e0_t64,0.2667,1,FP1
e0_t64,e0_t65,0.2,1,FP1
e0_t65,e0_t66,0.2,1,FP1
e0_t184,e0_t185,0.2667,1,FP1
e0_t185,e0_t186,0.3333,1,FP1
e0_t186,e0_t187,0.2667,1,FP1
e0_t98,e0_t99,0.2,1,FP1
e0_t99,e0_t100,0.2667,1,FP1
e0_t127,e0_t205,0.0667,78,FP1
e0_t128,e0_t205,0.0667,77,FP1
e0_t129,e0_t205,0.0667,76,FP1
e0_t152,e0_t204,0.0667,52,FP1
e0_t153,e0_t204,0.0667,51,FP1
e0_t165,e0_t204,0.0667,39,FP1
e0_t166,e0_t204,0.0667,38,FP1
e0_t167,e0_t204,0.0667,37,FP1
e0_t168,e0_t169,0.4,1,FP1
e0_t169,e0_t170,0.1333,1,FP1
e0_t170,e0_t171,0.4,1,FP1
e0_t187,e0_t188,0.2667,1,FP1
e0_t188,e0_t189,0.2667,1,FP1
e0_t191,e0_t192,0.4,1,FP1
e0_t192,e0_t193,0.2667,1,FP1
e0_t202,e0_t203,0.2667,1,FP1
e0_t203,e0_t204,0.2,1,FP1
e0_t204,e0_t205,0.4,1,FP1
e0_t205,e0_t206,0.3333,1,FP1
e0_t207,e0_t208,0.1333,1,FP1
e0_t207,e0_t210,0.1333,3,FP1
e0_t207,e0_t212,0.0667,5,FP1
e0_t210,e0_t211,0.1333,1,FP1
e0_t211,e0_t212,0.4667,1,FP1
