source,target,weight,time
w1_t56,w1_t57,1.0,1
w1_t57,w1_t58,1.0,1
w4_t39,w4_t40,1.0,4
w4_t123,w4_t124,1.0,4
w4_t124,w4_t125,1.0,4
w4_t125,w4_t138,0.0769,4
w4_t136,w4_t137,1.0,4
w4_t137,w4_t138,1.0,4
w5_t140,w5_t154,0.0714,5
w5_t152,w5_t153,1.0,5
w5_t153,w5_t154,1.0,5
w5_t170,w5_t171,1.0,5
w10_t2,w10_t3,1.0,10
w10_t3,w10_t4,1.0,10
w10_t3,w10_t12,0.1111,10
w10_t10,w10_t11,1.0,10
w10_t11,w10_t12,1.0,10
w10_t12,w10_t13,1.0,10
w10_t13,w10_t14,1.0,10
w10_t21,w10_t22,1.0,10
w10_t22,w10_t23,1.0,10
w10_t22,w10_t57,0.0286,10
w10_t23,w10_t24,1.0,10
w10_t23,w10_t56,0.0303,10
w10_t24,w10_t25,1.0,10
w10_t53,w10_t54,1.0,10
w10_t54,w10_t55,1.0,10
w10_t55,w10_t56,1.0,10
w10_t56,w10_t57,1.0,10
w10_t57,w10_t58,1.0,10
w10_t66,w10_t75,0.1111,10
w10_t73,w10_t74,1.0,10
w10_t74,w10_t75,1.0,10
w10_t75,w10_t76,1.0,10
w10_t76,w10_t77,1.0,10
w10_t106,w10_t107,1.0,10
w10_t107,w10_t108,1.0,10
w10_t107,w10_t119,0.0833,10
w10_t108,w10_t109,1.0,10
w10_t109,w10_t110,1.0,10
w10_t189,w10_t190,1.0,10
w10_t189,w10_t202,0.0769,10
w10_t190,w10_t191,1.0,10
w10_t216,w10_t217,1.0,10
w10_t217,w10_t218,1.0,10
w10_t231,w10_t232,1.0,10
w10_t252,w10_t253,1.0,10
w10_t253,w10_t254,1.0,10
w11_t25,w11_t26,1.0,11
w11_t26,w11_t27,1.0,11
w11_t131,w11_t132,1.0,11
w11_t132,w11_t133,1.0,11
w11_t133,w11_t134,1.0,11
w11_t142,w11_t143,1.0,11
w11_t143,w11_t144,1.0,11
w11_t144,w11_t145,1.0,11
w11_t156,w11_t157,1.0,11
w11_t230,w11_t231,1.0,11
w11_t239,w11_t240,1.0,11
w11_t240,w11_t241,1.0,11
w12_t27,w12_t28,1.0,12
w12_t27,w12_t51,0.0417,12
w12_t28,w12_t29,1.0,12
w12_t28,w12_t49,0.0476,12
w15_t101,w15_t102,1.0,15
w15_t102,w15_t103,1.0,15
w15_t102,w15_t172,0.0143,15
w15_t103,w15_t104,1.0,15
w15_t103,w15_t155,0.0192,15
w16_t59,w16_t90,0.0323,16
w16_t62,w16_t89,0.037,16
w16_t70,w16_t85,0.0667,16
w16_t83,w16_t84,1.0,16
w16_t84,w16_t85,1.0,16
w16_t85,w16_t86,1.0,16
w16_t86,w16_t87,1.0,16
w16_t87,w16_t88,1.0,16
w16_t88,w16_t89,1.0,16
w16_t89,w16_t90,1.0,16
w16_t90,w16_t91,1.0,16
w16_t208,w16_t209,1.0,16
w16_t253,w16_t254,1.0,16
w16_t254,w16_t255,1.0,16
w17_t6,w17_t7,1.0,17
w17_t7,w17_t8,1.0,17
w17_t8,w17_t9,1.0,17
w17_t9,w17_t10,1.0,17
w17_t23,w17_t24,1.0,17
w17_t48,w17_t49,1.0,17
w17_t49,w17_t50,1.0,17
w17_t49,w17_t62,0.0769,17
w17_t50,w17_t51,1.0,17
w17_t50,w17_t60,0.1,17
w17_t51,w17_t52,1.0,17
w17_t52,w17_t53,1.0,17
w17_t52,w17_t59,0.1429,17
w17_t53,w17_t58,0.2,17
w17_t57,w17_t58,1.0,17
w17_t58,w17_t59,1.0,17
w17_t59,w17_t60,1.0,17
w17_t60,w17_t61,1.0,17
w17_t63,w17_t64,1.0,17
w17_t64,w17_t65,1.0,17
w17_t90,w17_t91,1.0,17
w17_t91,w17_t92,1.0,17
w17_t92,w17_t93,1.0,17
w17_t93,w17_t94,1.0,17
w17_t94,w17_t95,1.0,17
w17_t102,w17_t103,1.0,17
w17_t103,w17_t104,1.0,17
w17_t104,w17_t105,1.0,17
w17_t105,w17_t106,1.0,17
w17_t106,w17_t107,1.0,17
w17_t107,w17_t108,1.0,17
w17_t116,w17_t117,1.0,17
w17_t117,w17_t118,1.0,17
w17_t140,w17_t141,1.0,17
w17_t140,w17_t154,0.0714,17
w17_t141,w17_t142,1.0,17
w17_t141,w17_t153,0.0833,17
w17_t142,w17_t143,1.0,17
w17_t153,w17_t154,1.0,17
w18_t73,w18_t74,1.0,18
w18_t214,w18_t230,0.0625,18
w18_t220,w18_t229,0.1111,18
w18_t228,w18_t229,1.0,18
w18_t229,w18_t230,1.0,18
w19_t119,w19_t120,1.0,19
w19_t138,w19_t154,0.0625,19
w19_t153,w19_t154,1.0,19
w19_t245,w19_t246,1.0,19
w19_t246,w19_t247,1.0,19
w19_t247,w19_t248,1.0,19
w19_t248,w19_t249,1.0,19
w19_t249,w19_t250,1.0,19
w19_t250,w19_t251,1.0,19
w19_t251,w19_t252,1.0,19
w19_t252,w19_t253,1.0,19
w19_t253,w19_t254,1.0,19
w20_t20,w20_t21,1.0,20
w20_t21,w20_t22,1.0,20
w20_t22,w20_t23,1.0,20
w20_t130,w20_t131,1.0,20
w20_t130,w20_t170,0.025,20
w20_t131,w20_t132,1.0,20
w20_t131,w20_t169,0.0263,20
w20_t132,w20_t133,1.0,20
w20_t133,w20_t134,1.0,20
w20_t133,w20_t166,0.0303,20
w20_t134,w20_t135,1.0,20
w20_t135,w20_t136,1.0,20
w20_t136,w20_t137,1.0,20
w20_t136,w20_t162,0.0385,20
w20_t136,w20_t164,0.0357,20
w20_t137,w20_t138,1.0,20
w20_t138,w20_t139,1.0,20
w20_t139,w20_t140,1.0,20
w20_t139,w20_t161,0.0455,20
w20_t140,w20_t141,1.0,20
w20_t140,w20_t160,0.05,20
w20_t141,w20_t142,1.0,20
w20_t141,w20_t159,0.0556,20
w20_t142,w20_t143,1.0,20
w20_t157,w20_t158,1.0,20
w20_t158,w20_t159,1.0,20
w20_t159,w20_t160,1.0,20
w20_t160,w20_t161,1.0,20
w20_t161,w20_t162,1.0,20
w20_t162,w20_t163,1.0,20
w20_t163,w20_t164,1.0,20
w20_t164,w20_t165,1.0,20
w20_t165,w20_t166,1.0,20
w20_t166,w20_t167,1.0,20
w20_t168,w20_t169,1.0,20
w20_t169,w20_t170,1.0,20
w20_t177,w20_t197,0.05,20
w20_t180,w20_t196,0.0625,20
w20_t195,w20_t196,1.0,20
w20_t196,w20_t197,1.0,20
w20_t197,w20_t198,1.0,20
w20_t242,w20_t243,1.0,20
w20_t243,w20_t244,1.0,20
w20_t249,w20_t250,1.0,20
w20_t250,w20_t251,1.0,20
w21_t3,w21_t4,1.0,21
w21_t9,w21_t10,1.0,21
w21_t10,w21_t11,1.0,21
w21_t11,w21_t12,1.0,21
w21_t17,w21_t18,1.0,21
w21_t18,w21_t19,1.0,21
w21_t25,w21_t26,1.0,21
w21_t26,w21_t27,1.0,21
w21_t26,w21_t106,0.0125,21
w21_t27,w21_t28,1.0,21
w21_t28,w21_t29,1.0,21
w21_t29,w21_t30,1.0,21
w21_t29,w21_t74,0.0222,21
w21_t29,w21_t78,0.0204,21
w21_t30,w21_t31,1.0,21
w21_t30,w21_t70,0.025,21
w21_t30,w21_t71,0.0244,21
w21_t31,w21_t32,1.0,21
w21_t31,w21_t67,0.0278,21
w21_t32,w21_t33,1.0,21
w21_t33,w21_t34,1.0,21
w21_t33,w21_t66,0.0303,21
w21_t34,w21_t35,1.0,21
w21_t34,w21_t64,0.0333,21
w21_t34,w21_t65,0.0323,21
w21_t35,w21_t36,1.0,21
w21_t36,w21_t37,1.0,21
w21_t36,w21_t57,0.0476,21
w21_t36,w21_t64,0.0357,21
w21_t37,w21_t38,1.0,21
w21_t37,w21_t56,0.0526,21
w21_t38,w21_t39,1.0,21
w21_t39,w21_t40,1.0,21
w21_t39,w21_t56,0.0588,21
w21_t40,w21_t55,0.0667,21
w21_t41,w21_t55,0.0714,21
w21_t43,w21_t44,1.0,21
w21_t44,w21_t45,1.0,21
w21_t44,w21_t49,0.2,21
w21_t45,w21_t46,1.0,21
w21_t45,w21_t48,0.3333,21
w21_t48,w21_t49,1.0,21
w21_t49,w21_t50,1.0,21
w21_t53,w21_t54,1.0,21
w21_t54,w21_t55,1.0,21
w21_t55,w21_t56,1.0,21
w21_t56,w21_t57,1.0,21
w21_t58,w21_t64,0.1667,21
w21_t60,w21_t63,0.3333,21
w21_t62,w21_t63,1.0,21
w21_t63,w21_t64,1.0,21
