source,target,weight,time,electrode
e0_w0_t25,e0_w0_t26,1.0,0,FP1
e1_w0_t69,e1_w0_t97,0.0357,0,FP2
e1_w0_t95,e1_w0_t96,1.0,0,FP2
e1_w0_t96,e1_w0_t97,1.0,0,FP2
e2_w0_t45,e2_w0_t46,1.0,0,F7
e2_w0_t45,e2_w0_t59,0.0714,0,F7
e2_w0_t81,e2_w0_t82,1.0,0,F7
e2_w0_t82,e2_w0_t83,1.0,0,F7
e2_w0_t82,e2_w0_t113,0.0323,0,F7
e2_w0_t83,e2_w0_t84,1.0,0,F7
e2_w0_t83,e2_w0_t99,0.0625,0,F7
e2_w0_t83,e2_w0_t105,0.0455,0,F7
e2_w0_t130,e2_w0_t152,0.0455,0,F7
e2_w0_t150,e2_w0_t151,1.0,0,F7
e2_w0_t151,e2_w0_t152,1.0,0,F7
e2_w0_t152,e2_w0_t153,1.0,0,F7
e2_w0_t153,e2_w0_t154,1.0,0,F7
e2_w0_t253,e2_w0_t254,1.0,0,F7
e3_w0_t11,e3_w0_t12,1.0,0,F3
e3_w0_t11,e3_w0_t24,0.0769,0,F3
e3_w0_t12,e3_w0_t13,1.0,0,F3
e3_w0_t12,e3_w0_t20,0.125,0,F3
e3_w0_t22,e3_w0_t23,1.0,0,F3
e3_w0_t23,e3_w0_t24,1.0,0,F3
e3_w0_t24,e3_w0_t25,1.0,0,F3
e3_w0_t25,e3_w0_t26,1.0,0,F3
e3_w0_t56,e3_w0_t57,1.0,0,F3
e3_w0_t59,e3_w0_t60,1.0,0,F3
e3_w0_t88,e3_w0_t89,1.0,0,F3
e3_w0_t94,e3_w0_t122,0.0357,0,F3
e3_w0_t106,e3_w0_t121,0.0667,0,F3
e3_w0_t107,e3_w0_t121,0.0714,0,F3
e3_w0_t119,e3_w0_t120,1.0,0,F3
e3_w0_t120,e3_w0_t121,1.0,0,F3
e3_w0_t121,e3_w0_t122,1.0,0,F3
e3_w0_t126,e3_w0_t127,1.0,0,F3
e3_w0_t139,e3_w0_t140,1.0,0,F3
e3_w0_t140,e3_w0_t141,1.0,0,F3
e3_w0_t140,e3_w0_t154,0.0714,0,F3
e3_w0_t180,e3_w0_t185,0.2,0,F3
e3_w0_t184,e3_w0_t185,1.0,0,F3
e3_w0_t187,e3_w0_t188,1.0,0,F3
e3_w0_t203,e3_w0_t204,1.0,0,F3
e3_w0_t234,e3_w0_t235,1.0,0,F3
e3_w0_t235,e3_w0_t236,1.0,0,F3
e3_w0_t235,e3_w0_t255,0.05,0,F3
e3_w0_t236,e3_w0_t237,1.0,0,F3
e3_w0_t237,e3_w0_t255,0.0556,0,F3
e3_w0_t254,e3_w0_t255,1.0,0,F3
e5_w0_t92,e5_w0_t93,1.0,0,F4
e5_w0_t236,e5_w0_t237,1.0,0,F4
e6_w0_t77,e6_w0_t78,1.0,0,F8
e6_w0_t253,e6_w0_t254,1.0,0,F8
e7_w0_t8,e7_w0_t9,1.0,0,T7
e7_w0_t27,e7_w0_t28,1.0,0,T7
e7_w0_t27,e7_w0_t55,0.0357,0,T7
e7_w0_t28,e7_w0_t29,1.0,0,T7
e7_w0_t28,e7_w0_t50,0.0455,0,T7
e7_w0_t29,e7_w0_t30,1.0,0,T7
e7_w0_t91,e7_w0_t92,1.0,0,T7
e7_w0_t91,e7_w0_t111,0.05,0,T7
e7_w0_t92,e7_w0_t93,1.0,0,T7
e7_w0_t92,e7_w0_t105,0.0769,0,T7
e7_w0_t93,e7_w0_t94,1.0,0,T7
e7_w0_t93,e7_w0_t96,0.3333,0,T7
e7_w0_t155,e7_w0_t156,1.0,0,T7
e7_w0_t156,e7_w0_t157,1.0,0,T7
e7_w0_t187,e7_w0_t188,1.0,0,T7
e7_w0_t187,e7_w0_t217,0.0333,0,T7
e7_w0_t216,e7_w0_t217,1.0,0,T7
e7_w0_t217,e7_w0_t218,1.0,0,T7
e7_w0_t220,e7_w0_t221,1.0,0,T7
e7_w0_t248,e7_w0_t249,1.0,0,T7
e11_w0_t7,e11_w0_t8,1.0,0,T8
e11_w0_t27,e11_w0_t28,1.0,0,T8
e11_w0_t91,e11_w0_t92,1.0,0,T8
e11_w0_t135,e11_w0_t136,1.0,0,T8
e11_w0_t149,e11_w0_t150,1.0,0,T8
e11_w0_t155,e11_w0_t156,1.0,0,T8
e11_w0_t155,e11_w0_t181,0.0385,0,T8
e11_w0_t156,e11_w0_t157,1.0,0,T8
e11_w0_t165,e11_w0_t176,0.0909,0,T8
e11_w0_t175,e11_w0_t176,1.0,0,T8
e11_w0_t183,e11_w0_t217,0.0294,0,T8
e11_w0_t215,e11_w0_t216,1.0,0,T8
e11_w0_t216,e11_w0_t217,1.0,0,T8
e11_w0_t235,e11_w0_t236,1.0,0,T8
e11_w0_t236,e11_w0_t237,1.0,0,T8
e15_w0_t29,e15_w0_t30,1.0,0,P4
e15_w0_t92,e15_w0_t93,1.0,0,P4
e15_w0_t93,e15_w0_t94,1.0,0,P4
e15_w0_t106,e15_w0_t107,1.0,0,P4
