Source,Target,source_label,target_label,edge_type,layer,weight
FP1-F7_ord_43120,FP1-F7_ord_43201,FP1-F7_ord_43120,FP1-F7_ord_43201,intra,FP1-F7,5.0
FP1-F7_ord_43201,FP1-F7_ord_43210,FP1-F7_ord_43201,FP1-F7_ord_43210,intra,FP1-F7,68.0
FP1-F7_ord_43210,FP1-F7_ord_43210,FP1-F7_ord_43210,FP1-F7_ord_43210,intra,FP1-F7,110.0
FP1-F7_ord_43210,FP1-F7_ord_34210,FP1-F7_ord_43210,FP1-F7_ord_34210,intra,FP1-F7,52.0
FP1-F7_ord_34210,FP1-F7_ord_23140,FP1-F7_ord_34210,FP1-F7_ord_23140,intra,FP1-F7,99.0
FP1-F7_ord_23140,FP1-F7_ord_14203,FP1-F7_ord_23140,FP1-F7_ord_14203,intra,FP1-F7,1.0
FP1-F7_ord_14203,FP1-F7_ord_40312,FP1-F7_ord_14203,FP1-F7_ord_40312,intra,FP1-F7,1.0
FP1-F7_ord_40312,FP1-F7_ord_43201,FP1-F7_ord_40312,FP1-F7_ord_43201,intra,FP1-F7,107.0
FP1-F7_ord_43201,FP1-F7_ord_34210,FP1-F7_ord_43201,FP1-F7_ord_34210,intra,FP1-F7,48.0
FP1-F7_ord_23140,FP1-F7_ord_12034,FP1-F7_ord_23140,FP1-F7_ord_12034,intra,FP1-F7,103.0
FP1-F7_ord_12034,FP1-F7_ord_01423,FP1-F7_ord_12034,FP1-F7_ord_01423,intra,FP1-F7,12.0
FP1-F7_ord_01423,FP1-F7_ord_40312,FP1-F7_ord_01423,FP1-F7_ord_40312,intra,FP1-F7,112.0
FP1-F7_ord_43210,FP1-F7_ord_32410,FP1-F7_ord_43210,FP1-F7_ord_32410,intra,FP1-F7,101.0
FP1-F7_ord_32410,FP1-F7_ord_21304,FP1-F7_ord_32410,FP1-F7_ord_21304,intra,FP1-F7,106.0
FP1-F7_ord_21304,FP1-F7_ord_10234,FP1-F7_ord_21304,FP1-F7_ord_10234,intra,FP1-F7,106.0
FP1-F7_ord_10234,FP1-F7_ord_01243,FP1-F7_ord_10234,FP1-F7_ord_01243,intra,FP1-F7,46.0
FP1-F7_ord_01243,FP1-F7_ord_01432,FP1-F7_ord_01243,FP1-F7_ord_01432,intra,FP1-F7,17.0
FP1-F7_ord_01432,FP1-F7_ord_03421,FP1-F7_ord_01432,FP1-F7_ord_03421,intra,FP1-F7,1.0
FP1-F7_ord_03421,FP1-F7_ord_23104,FP1-F7_ord_03421,FP1-F7_ord_23104,intra,FP1-F7,1.0
FP1-F7_ord_23104,FP1-F7_ord_12043,FP1-F7_ord_23104,FP1-F7_ord_12043,intra,FP1-F7,1.0
FP1-F7_ord_12043,FP1-F7_ord_04132,FP1-F7_ord_12043,FP1-F7_ord_04132,intra,FP1-F7,1.0
FP1-F7_ord_04132,FP1-F7_ord_43021,FP1-F7_ord_04132,FP1-F7_ord_43021,intra,FP1-F7,110.0
FP1-F7_ord_43021,FP1-F7_ord_43210,FP1-F7_ord_43021,FP1-F7_ord_43210,intra,FP1-F7,87.0
FP1-F7_ord_10234,FP1-F7_ord_01234,FP1-F7_ord_10234,FP1-F7_ord_01234,intra,FP1-F7,65.0
FP1-F7_ord_01234,FP1-F7_ord_01423,FP1-F7_ord_01234,FP1-F7_ord_01423,intra,FP1-F7,92.0
FP1-F7_ord_43201,FP1-F7_ord_32410,FP1-F7_ord_43201,FP1-F7_ord_32410,intra,FP1-F7,36.0
FP1-F7_ord_32410,FP1-F7_ord_21340,FP1-F7_ord_32410,FP1-F7_ord_21340,intra,FP1-F7,44.0
FP1-F7_ord_21340,FP1-F7_ord_10234,FP1-F7_ord_21340,FP1-F7_ord_10234,intra,FP1-F7,24.0
FP1-F7_ord_01243,FP1-F7_ord_04132,FP1-F7_ord_01243,FP1-F7_ord_04132,intra,FP1-F7,104.0
FP1-F7_ord_43021,FP1-F7_ord_32410,FP1-F7_ord_43021,FP1-F7_ord_32410,intra,FP1-F7,13.0
FP1-F7_ord_10234,FP1-F7_ord_01423,FP1-F7_ord_10234,FP1-F7_ord_01423,intra,FP1-F7,37.0
FP1-F7_ord_40312,FP1-F7_ord_34201,FP1-F7_ord_40312,FP1-F7_ord_34201,intra,FP1-F7,9.0
FP1-F7_ord_34201,FP1-F7_ord_23104,FP1-F7_ord_34201,FP1-F7_ord_23104,intra,FP1-F7,9.0
FP1-F7_ord_23104,FP1-F7_ord_12034,FP1-F7_ord_23104,FP1-F7_ord_12034,intra,FP1-F7,34.0
FP1-F7_ord_12034,FP1-F7_ord_01234,FP1-F7_ord_12034,FP1-F7_ord_01234,intra,FP1-F7,86.0
FP1-F7_ord_43021,FP1-F7_ord_34210,FP1-F7_ord_43021,FP1-F7_ord_34210,intra,FP1-F7,38.0
FP1-F7_ord_12034,FP1-F7_ord_01243,FP1-F7_ord_12034,FP1-F7_ord_01243,intra,FP1-F7,40.0
FP1-F7_ord_43021,FP1-F7_ord_32140,FP1-F7_ord_43021,FP1-F7_ord_32140,intra,FP1-F7,2.0
FP1-F7_ord_32140,FP1-F7_ord_21034,FP1-F7_ord_32140,FP1-F7_ord_21034,intra,FP1-F7,12.0
FP1-F7_ord_21034,FP1-F7_ord_10243,FP1-F7_ord_21034,FP1-F7_ord_10243,intra,FP1-F7,3.0
FP1-F7_ord_10243,FP1-F7_ord_40132,FP1-F7_ord_10243,FP1-F7_ord_40132,intra,FP1-F7,9.0
FP1-F7_ord_40132,FP1-F7_ord_43021,FP1-F7_ord_40132,FP1-F7_ord_43021,intra,FP1-F7,30.0
FP1-F7_ord_01234,FP1-F7_ord_01243,FP1-F7_ord_01234,FP1-F7_ord_01243,intra,FP1-F7,56.0
FP1-F7_ord_43210,FP1-F7_ord_32140,FP1-F7_ord_43210,FP1-F7_ord_32140,intra,FP1-F7,5.0
FP1-F7_ord_21034,FP1-F7_ord_10234,FP1-F7_ord_21034,FP1-F7_ord_10234,intra,FP1-F7,17.0
FP1-F7_ord_21340,FP1-F7_ord_10423,FP1-F7_ord_21340,FP1-F7_ord_10423,intra,FP1-F7,4.0
FP1-F7_ord_10423,FP1-F7_ord_03124,FP1-F7_ord_10423,FP1-F7_ord_03124,intra,FP1-F7,2.0
FP1-F7_ord_03124,FP1-F7_ord_20134,FP1-F7_ord_03124,FP1-F7_ord_20134,intra,FP1-F7,4.0
FP1-F7_ord_20134,FP1-F7_ord_10234,FP1-F7_ord_20134,FP1-F7_ord_10234,intra,FP1-F7,4.0
FP1-F7_ord_01423,FP1-F7_ord_04312,FP1-F7_ord_01423,FP1-F7_ord_04312,intra,FP1-F7,29.0
FP1-F7_ord_04312,FP1-F7_ord_34201,FP1-F7_ord_04312,FP1-F7_ord_34201,intra,FP1-F7,5.0
FP1-F7_ord_21340,FP1-F7_ord_10243,FP1-F7_ord_21340,FP1-F7_ord_10243,intra,FP1-F7,10.0
FP1-F7_ord_04312,FP1-F7_ord_43201,FP1-F7_ord_04312,FP1-F7_ord_43201,intra,FP1-F7,21.0
FP1-F7_ord_10243,FP1-F7_ord_01432,FP1-F7_ord_10243,FP1-F7_ord_01432,intra,FP1-F7,1.0
FP1-F7_ord_01432,FP1-F7_ord_03214,FP1-F7_ord_01432,FP1-F7_ord_03214,intra,FP1-F7,4.0
FP1-F7_ord_03214,FP1-F7_ord_21034,FP1-F7_ord_03214,FP1-F7_ord_21034,intra,FP1-F7,3.0
FP1-F7_ord_01243,FP1-F7_ord_40132,FP1-F7_ord_01243,FP1-F7_ord_40132,intra,FP1-F7,19.0
FP1-F7_ord_01234,FP1-F7_ord_01234,FP1-F7_ord_01234,FP1-F7_ord_01234,intra,FP1-F7,109.0
FP1-F7_ord_34210,FP1-F7_ord_23104,FP1-F7_ord_34210,FP1-F7_ord_23104,intra,FP1-F7,23.0
FP1-F7_ord_10243,FP1-F7_ord_04132,FP1-F7_ord_10243,FP1-F7_ord_04132,intra,FP1-F7,8.0
FP1-F7_ord_21304,FP1-F7_ord_10243,FP1-F7_ord_21304,FP1-F7_ord_10243,intra,FP1-F7,6.0
FP1-F7_ord_01243,FP1-F7_ord_01324,FP1-F7_ord_01243,FP1-F7_ord_01324,intra,FP1-F7,2.0
FP1-F7_ord_01324,FP1-F7_ord_02134,FP1-F7_ord_01324,FP1-F7_ord_02134,intra,FP1-F7,4.0
FP1-F7_ord_02134,FP1-F7_ord_10234,FP1-F7_ord_02134,FP1-F7_ord_10234,intra,FP1-F7,4.0
FP1-F7_ord_43210,FP1-F7_ord_32104,FP1-F7_ord_43210,FP1-F7_ord_32104,intra,FP1-F7,1.0
FP1-F7_ord_32104,FP1-F7_ord_21034,FP1-F7_ord_32104,FP1-F7_ord_21034,intra,FP1-F7,4.0
FP1-F7_ord_21304,FP1-F7_ord_10423,FP1-F7_ord_21304,FP1-F7_ord_10423,intra,FP1-F7,2.0
FP1-F7_ord_10423,FP1-F7_ord_40312,FP1-F7_ord_10423,FP1-F7_ord_40312,intra,FP1-F7,3.0
FP1-F7_ord_01423,FP1-F7_ord_03412,FP1-F7_ord_01423,FP1-F7_ord_03412,intra,FP1-F7,1.0
FP1-F7_ord_03412,FP1-F7_ord_23014,FP1-F7_ord_03412,FP1-F7_ord_23014,intra,FP1-F7,1.0
FP1-F7_ord_23014,FP1-F7_ord_12034,FP1-F7_ord_23014,FP1-F7_ord_12034,intra,FP1-F7,1.0
FP1-F7_ord_01432,FP1-F7_ord_40321,FP1-F7_ord_01432,FP1-F7_ord_40321,intra,FP1-F7,9.0
FP1-F7_ord_40321,FP1-F7_ord_43210,FP1-F7_ord_40321,FP1-F7_ord_43210,intra,FP1-F7,4.0
FP1-F7_ord_34210,FP1-F7_ord_23410,FP1-F7_ord_34210,FP1-F7_ord_23410,intra,FP1-F7,18.0
FP1-F7_ord_23410,FP1-F7_ord_12304,FP1-F7_ord_23410,FP1-F7_ord_12304,intra,FP1-F7,10.0
FP1-F7_ord_12304,FP1-F7_ord_01243,FP1-F7_ord_12304,FP1-F7_ord_01243,intra,FP1-F7,2.0
FP1-F7_ord_12304,FP1-F7_ord_01234,FP1-F7_ord_12304,FP1-F7_ord_01234,intra,FP1-F7,6.0
FP1-F7_ord_34201,FP1-F7_ord_23140,FP1-F7_ord_34201,FP1-F7_ord_23140,intra,FP1-F7,7.0
FP1-F7_ord_10243,FP1-F7_ord_01324,FP1-F7_ord_10243,FP1-F7_ord_01324,intra,FP1-F7,1.0
FP1-F7_ord_01423,FP1-F7_ord_03124,FP1-F7_ord_01423,FP1-F7_ord_03124,intra,FP1-F7,2.0
FP1-F7_ord_10234,FP1-F7_ord_40123,FP1-F7_ord_10234,FP1-F7_ord_40123,intra,FP1-F7,1.0
FP1-F7_ord_40123,FP1-F7_ord_43012,FP1-F7_ord_40123,FP1-F7_ord_43012,intra,FP1-F7,5.0
FP1-F7_ord_43012,FP1-F7_ord_43201,FP1-F7_ord_43012,FP1-F7_ord_43201,intra,FP1-F7,24.0
FP1-F7_ord_10234,FP1-F7_ord_04123,FP1-F7_ord_10234,FP1-F7_ord_04123,intra,FP1-F7,5.0
FP1-F7_ord_04123,FP1-F7_ord_43012,FP1-F7_ord_04123,FP1-F7_ord_43012,intra,FP1-F7,14.0
FP1-F7_ord_04132,FP1-F7_ord_34021,FP1-F7_ord_04132,FP1-F7_ord_34021,intra,FP1-F7,2.0
FP1-F7_ord_34021,FP1-F7_ord_23104,FP1-F7_ord_34021,FP1-F7_ord_23104,intra,FP1-F7,2.0
FP1-F7_ord_01234,FP1-F7_ord_04123,FP1-F7_ord_01234,FP1-F7_ord_04123,intra,FP1-F7,8.0
FP1-F7_ord_01432,FP1-F7_ord_03241,FP1-F7_ord_01432,FP1-F7_ord_03241,intra,FP1-F7,1.0
FP1-F7_ord_03241,FP1-F7_ord_21304,FP1-F7_ord_03241,FP1-F7_ord_21304,intra,FP1-F7,1.0
FP1-F7_ord_32410,FP1-F7_ord_21430,FP1-F7_ord_32410,FP1-F7_ord_21430,intra,FP1-F7,1.0
FP1-F7_ord_21430,FP1-F7_ord_41032,FP1-F7_ord_21430,FP1-F7_ord_41032,intra,FP1-F7,1.0
FP1-F7_ord_41032,FP1-F7_ord_43021,FP1-F7_ord_41032,FP1-F7_ord_43021,intra,FP1-F7,1.0
FP1-F7_ord_23410,FP1-F7_ord_12430,FP1-F7_ord_23410,FP1-F7_ord_12430,intra,FP1-F7,2.0
FP1-F7_ord_12430,FP1-F7_ord_01324,FP1-F7_ord_12430,FP1-F7_ord_01324,intra,FP1-F7,1.0
FP1-F7_ord_43012,FP1-F7_ord_34201,FP1-F7_ord_43012,FP1-F7_ord_34201,intra,FP1-F7,2.0
FP1-F7_ord_04312,FP1-F7_ord_32401,FP1-F7_ord_04312,FP1-F7_ord_32401,intra,FP1-F7,2.0
FP1-F7_ord_32401,FP1-F7_ord_21304,FP1-F7_ord_32401,FP1-F7_ord_21304,intra,FP1-F7,5.0
FP1-F7_ord_04312,FP1-F7_ord_32041,FP1-F7_ord_04312,FP1-F7_ord_32041,intra,FP1-F7,1.0
FP1-F7_ord_32041,FP1-F7_ord_21304,FP1-F7_ord_32041,FP1-F7_ord_21304,intra,FP1-F7,1.0
FP1-F7_ord_43201,FP1-F7_ord_32140,FP1-F7_ord_43201,FP1-F7_ord_32140,intra,FP1-F7,5.0
FP1-F7_ord_10423,FP1-F7_ord_04312,FP1-F7_ord_10423,FP1-F7_ord_04312,intra,FP1-F7,1.0
FP1-F7_ord_04312,FP1-F7_ord_32014,FP1-F7_ord_04312,FP1-F7_ord_32014,intra,FP1-F7,1.0
FP1-F7_ord_32014,FP1-F7_ord_21034,FP1-F7_ord_32014,FP1-F7_ord_21034,intra,FP1-F7,1.0
FP1-F7_ord_40321,FP1-F7_ord_34210,FP1-F7_ord_40321,FP1-F7_ord_34210,intra,FP1-F7,4.0
FP1-F7_ord_34210,FP1-F7_ord_42310,FP1-F7_ord_34210,FP1-F7_ord_42310,intra,FP1-F7,4.0
FP1-F7_ord_42310,FP1-F7_ord_43120,FP1-F7_ord_42310,FP1-F7_ord_43120,intra,FP1-F7,4.0
FP1-F7_ord_01243,FP1-F7_ord_01342,FP1-F7_ord_01243,FP1-F7_ord_01342,intra,FP1-F7,2.0
FP1-F7_ord_01342,FP1-F7_ord_02314,FP1-F7_ord_01342,FP1-F7_ord_02314,intra,FP1-F7,2.0
FP1-F7_ord_02314,FP1-F7_ord_12034,FP1-F7_ord_02314,FP1-F7_ord_12034,intra,FP1-F7,2.0
FP1-F7_ord_12430,FP1-F7_ord_40132,FP1-F7_ord_12430,FP1-F7_ord_40132,intra,FP1-F7,1.0
FP1-F7_ord_43021,FP1-F7_ord_32104,FP1-F7_ord_43021,FP1-F7_ord_32104,intra,FP1-F7,2.0
FP1-F7_ord_23410,FP1-F7_ord_12340,FP1-F7_ord_23410,FP1-F7_ord_12340,intra,FP1-F7,3.0
