electrode,layer_index,n_pattern_instances,n_unique_patterns,n_intra_edges_before,n_intra_edges_after,norm_permutation_entropy
FP1-F7,0.0,2556.0,65.0,144.0,144.0,0.6530426745464054
F7-T7,1.0,2556.0,65.0,137.0,137.0,0.5684031559822578
T7-P7,2.0,2556.0,67.0,139.0,139.0,0.5672169730649684
P7-O1,3.0,2556.0,69.0,142.0,142.0,0.5801593159559103
FP1-F3,4.0,2556.0,65.0,138.0,138.0,0.6440319989604003
F3-C3,5.0,2556.0,66.0,136.0,136.0,0.6303112939338317
C3-P3,6.0,2556.0,64.0,133.0,133.0,0.5402838155277788
P3-O1,7.0,2556.0,69.0,155.0,155.0,0.5728753617110797
FP2-F4,8.0,2556.0,59.0,130.0,130.0,0.6472295273661554
F4-C4,9.0,2556.0,71.0,152.0,152.0,0.6515376766232566
C4-P4,10.0,2556.0,69.0,147.0,147.0,0.6111048418105441
P4-O2,11.0,2556.0,70.0,155.0,155.0,0.5810892052418656
FP2-F8,12.0,2556.0,57.0,127.0,127.0,0.6482514713845636
F8-T8,13.0,2556.0,70.0,151.0,151.0,0.6557871528675755
T8-P8-0,14.0,2556.0,67.0,149.0,149.0,0.6562174923217027
P8-O2,15.0,2556.0,64.0,144.0,144.0,0.5976388808303211
FZ-CZ,16.0,2556.0,64.0,132.0,132.0,0.5139837504602075
CZ-PZ,17.0,2556.0,54.0,101.0,101.0,0.444455890506143
P7-T7,18.0,2556.0,67.0,139.0,139.0,0.5672169730649684
T7-FT9,19.0,2556.0,68.0,152.0,152.0,0.6324598260539583
FT9-FT10,20.0,2556.0,65.0,142.0,142.0,0.5715313948008542
FT10-T8,21.0,2556.0,67.0,140.0,140.0,0.6490911478899091
T8-P8-1,22.0,2556.0,67.0,149.0,149.0,0.6562174923217027
