electrode,layer_index,n_pattern_instances,n_unique_patterns,n_intra_edges_before,n_intra_edges_after,norm_permutation_entropy
FP1-F7,0.0,2556.0,67.0,139.0,139.0,0.6208073875804925
F7-T7,1.0,2556.0,67.0,149.0,149.0,0.643769405283005
T7-P7,2.0,2556.0,63.0,137.0,137.0,0.6386966650819642
P7-O1,3.0,2556.0,70.0,154.0,154.0,0.6273208302002878
FP1-F3,4.0,2556.0,70.0,154.0,154.0,0.6314328524130323
F3-C3,5.0,2556.0,65.0,148.0,148.0,0.6407220850795042
C3-P3,6.0,2556.0,68.0,151.0,151.0,0.6814839044259847
P3-O1,7.0,2556.0,70.0,153.0,153.0,0.6895052550251571
FP2-F4,8.0,2556.0,65.0,150.0,150.0,0.6290669725073373
F4-C4,9.0,2556.0,67.0,142.0,142.0,0.6038669643902063
C4-P4,10.0,2556.0,66.0,150.0,150.0,0.6148918541058805
P4-O2,11.0,2556.0,69.0,149.0,149.0,0.6862484482443361
FP2-F8,12.0,2556.0,70.0,151.0,151.0,0.6383682173166214
F8-T8,13.0,2556.0,67.0,148.0,148.0,0.6487577275207516
T8-P8-0,14.0,2556.0,67.0,147.0,147.0,0.6425366891212317
P8-O2,15.0,2556.0,68.0,150.0,150.0,0.6713237161117298
FZ-CZ,16.0,2556.0,65.0,137.0,137.0,0.5846904483450202
CZ-PZ,17.0,2556.0,66.0,143.0,143.0,0.6062134461151983
P7-T7,18.0,2556.0,63.0,137.0,137.0,0.6386966650819642
T7-FT9,19.0,2556.0,69.0,156.0,156.0,0.6583602564222257
FT9-FT10,20.0,2556.0,70.0,153.0,153.0,0.639515061768611
FT10-T8,21.0,2556.0,66.0,141.0,141.0,0.6514686676744497
T8-P8-1,22.0,2556.0,67.0,147.0,147.0,0.6425366891212317
