Id,Label,electrode,time_idx,layer,graph_label
FP1-F7_t0,FP1-F7_t0,FP1-F7,0,FP1-F7,ictal
FP1-F7_t1,FP1-F7_t1,FP1-F7,1,FP1-F7,ictal
FP1-F7_t2,FP1-F7_t2,FP1-F7,2,FP1-F7,ictal
FP1-F7_t3,FP1-F7_t3,FP1-F7,3,FP1-F7,ictal
FP1-F7_t4,FP1-F7_t4,FP1-F7,4,FP1-F7,ictal
FP1-F7_t5,FP1-F7_t5,FP1-F7,5,FP1-F7,ictal
FP1-F7_t6,FP1-F7_t6,FP1-F7,6,FP1-F7,ictal
FP1-F7_t7,FP1-F7_t7,FP1-F7,7,FP1-F7,ictal
FP1-F7_t8,FP1-F7_t8,FP1-F7,8,FP1-F7,ictal
FP1-F7_t9,FP1-F7_t9,FP1-F7,9,FP1-F7,ictal
FP1-F7_t10,FP1-F7_t10,FP1-F7,10,FP1-F7,ictal
FP1-F7_t11,FP1-F7_t11,FP1-F7,11,FP1-F7,ictal
FP1-F7_t12,FP1-F7_t12,FP1-F7,12,FP1-F7,ictal
FP1-F7_t13,FP1-F7_t13,FP1-F7,13,FP1-F7,ictal
FP1-F7_t14,FP1-F7_t14,FP1-F7,14,FP1-F7,ictal
FP1-F7_t15,FP1-F7_t15,FP1-F7,15,FP1-F7,ictal
FP1-F7_t16,FP1-F7_t16,FP1-F7,16,FP1-F7,ictal
FP1-F7_t17,FP1-F7_t17,FP1-F7,17,FP1-F7,ictal
FP1-F7_t18,FP1-F7_t18,FP1-F7,18,FP1-F7,ictal
FP1-F7_t19,FP1-F7_t19,FP1-F7,19,FP1-F7,ictal
FP1-F7_t20,FP1-F7_t20,FP1-F7,20,FP1-F7,ictal
FP1-F7_t21,FP1-F7_t21,FP1-F7,21,FP1-F7,ictal
FP1-F7_t22,FP1-F7_t22,FP1-F7,22,FP1-F7,ictal
FP1-F7_t23,FP1-F7_t23,FP1-F7,23,FP1-F7,ictal
FP1-F7_t24,FP1-F7_t24,FP1-F7,24,FP1-F7,ictal
FP1-F7_t25,FP1-F7_t25,FP1-F7,25,FP1-F7,ictal
FP1-F7_t26,FP1-F7_t26,FP1-F7,26,FP1-F7,ictal
FP1-F7_t27,FP1-F7_t27,FP1-F7,27,FP1-F7,ictal
FP1-F7_t28,FP1-F7_t28,FP1-F7,28,FP1-F7,ictal
FP1-F7_t29,FP1-F7_t29,FP1-F7,29,FP1-F7,ictal
FP1-F7_t30,FP1-F7_t30,FP1-F7,30,FP1-F7,ictal
FP1-F7_t31,FP1-F7_t31,FP1-F7,31,FP1-F7,ictal
FP1-F7_t32,FP1-F7_t32,FP1-F7,32,FP1-F7,ictal
FP1-F7_t33,FP1-F7_t33,FP1-F7,33,FP1-F7,ictal
FP1-F7_t34,FP1-F7_t34,FP1-F7,34,FP1-F7,ictal
FP1-F7_t35,FP1-F7_t35,FP1-F7,35,FP1-F7,ictal
FP1-F7_t36,FP1-F7_t36,FP1-F7,36,FP1-F7,ictal
FP1-F7_t37,FP1-F7_t37,FP1-F7,37,FP1-F7,ictal
FP1-F7_t38,FP1-F7_t38,FP1-F7,38,FP1-F7,ictal
FP1-F7_t39,FP1-F7_t39,FP1-F7,39,FP1-F7,ictal
FP1-F7_t40,FP1-F7_t40,FP1-F7,40,FP1-F7,ictal
FP1-F7_t41,FP1-F7_t41,FP1-F7,41,FP1-F7,ictal
FP1-F7_t42,FP1-F7_t42,FP1-F7,42,FP1-F7,ictal
FP1-F7_t43,FP1-F7_t43,FP1-F7,43,FP1-F7,ictal
FP1-F7_t44,FP1-F7_t44,FP1-F7,44,FP1-F7,ictal
FP1-F7_t45,FP1-F7_t45,FP1-F7,45,FP1-F7,ictal
FP1-F7_t46,FP1-F7_t46,FP1-F7,46,FP1-F7,ictal
FP1-F7_t47,FP1-F7_t47,FP1-F7,47,FP1-F7,ictal
FP1-F7_t48,FP1-F7_t48,FP1-F7,48,FP1-F7,ictal
FP1-F7_t49,FP1-F7_t49,FP1-F7,49,FP1-F7,ictal
FP1-F7_t50,FP1-F7_t50,FP1-F7,50,FP1-F7,ictal
FP1-F7_t51,FP1-F7_t51,FP1-F7,51,FP1-F7,ictal
FP1-F7_t52,FP1-F7_t52,FP1-F7,52,FP1-F7,ictal
FP1-F7_t53,FP1-F7_t53,FP1-F7,53,FP1-F7,ictal
FP1-F7_t54,FP1-F7_t54,FP1-F7,54,FP1-F7,ictal
FP1-F7_t55,FP1-F7_t55,FP1-F7,55,FP1-F7,ictal
FP1-F7_t56,FP1-F7_t56,FP1-F7,56,FP1-F7,ictal
FP1-F7_t57,FP1-F7_t57,FP1-F7,57,FP1-F7,ictal
FP1-F7_t58,FP1-F7_t58,FP1-F7,58,FP1-F7,ictal
FP1-F7_t59,FP1-F7_t59,FP1-F7,59,FP1-F7,ictal
FP1-F7_t60,FP1-F7_t60,FP1-F7,60,FP1-F7,ictal
FP1-F7_t61,FP1-F7_t61,FP1-F7,61,FP1-F7,ictal
FP1-F7_t62,FP1-F7_t62,FP1-F7,62,FP1-F7,ictal
FP1-F7_t63,FP1-F7_t63,FP1-F7,63,FP1-F7,ictal
FP1-F7_t64,FP1-F7_t64,FP1-F7,64,FP1-F7,ictal
FP1-F7_t65,FP1-F7_t65,FP1-F7,65,FP1-F7,ictal
FP1-F7_t66,FP1-F7_t66,FP1-F7,66,FP1-F7,ictal
FP1-F7_t67,FP1-F7_t67,FP1-F7,67,FP1-F7,ictal
FP1-F7_t68,FP1-F7_t68,FP1-F7,68,FP1-F7,ictal
FP1-F7_t69,FP1-F7_t69,FP1-F7,69,FP1-F7,ictal
FP1-F7_t70,FP1-F7_t70,FP1-F7,70,FP1-F7,ictal
FP1-F7_t71,FP1-F7_t71,FP1-F7,71,FP1-F7,ictal
FP1-F7_t72,FP1-F7_t72,FP1-F7,72,FP1-F7,ictal
FP1-F7_t73,FP1-F7_t73,FP1-F7,73,FP1-F7,ictal
FP1-F7_t74,FP1-F7_t74,FP1-F7,74,FP1-F7,ictal
FP1-F7_t75,FP1-F7_t75,FP1-F7,75,FP1-F7,ictal
FP1-F7_t76,FP1-F7_t76,FP1-F7,76,FP1-F7,ictal
FP1-F7_t77,FP1-F7_t77,FP1-F7,77,FP1-F7,ictal
FP1-F7_t78,FP1-F7_t78,FP1-F7,78,FP1-F7,ictal
FP1-F7_t79,FP1-F7_t79,FP1-F7,79,FP1-F7,ictal
FP1-F7_t80,FP1-F7_t80,FP1-F7,80,FP1-F7,ictal
FP1-F7_t81,FP1-F7_t81,FP1-F7,81,FP1-F7,ictal
FP1-F7_t82,FP1-F7_t82,FP1-F7,82,FP1-F7,ictal
FP1-F7_t83,FP1-F7_t83,FP1-F7,83,FP1-F7,ictal
FP1-F7_t84,FP1-F7_t84,FP1-F7,84,FP1-F7,ictal
FP1-F7_t85,FP1-F7_t85,FP1-F7,85,FP1-F7,ictal
FP1-F7_t86,FP1-F7_t86,FP1-F7,86,FP1-F7,ictal
FP1-F7_t87,FP1-F7_t87,FP1-F7,87,FP1-F7,ictal
FP1-F7_t88,FP1-F7_t88,FP1-F7,88,FP1-F7,ictal
FP1-F7_t89,FP1-F7_t89,FP1-F7,89,FP1-F7,ictal
FP1-F7_t90,FP1-F7_t90,FP1-F7,90,FP1-F7,ictal
FP1-F7_t91,FP1-F7_t91,FP1-F7,91,FP1-F7,ictal
FP1-F7_t92,FP1-F7_t92,FP1-F7,92,FP1-F7,ictal
FP1-F7_t93,FP1-F7_t93,FP1-F7,93,FP1-F7,ictal
FP1-F7_t94,FP1-F7_t94,FP1-F7,94,FP1-F7,ictal
FP1-F7_t95,FP1-F7_t95,FP1-F7,95,FP1-F7,ictal
FP1-F7_t96,FP1-F7_t96,FP1-F7,96,FP1-F7,ictal
FP1-F7_t97,FP1-F7_t97,FP1-F7,97,FP1-F7,ictal
FP1-F7_t98,FP1-F7_t98,FP1-F7,98,FP1-F7,ictal
FP1-F7_t99,FP1-F7_t99,FP1-F7,99,FP1-F7,ictal
