Id,Label,electrode,pattern,pattern_rank,layer,graph_label
FP1-F7_ord_01234,FP1-F7_ord_01234,FP1-F7,01234,0,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_01243,FP1-F7_ord_01243,FP1-F7,01243,1,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_01324,FP1-F7_ord_01324,FP1-F7,01324,2,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_01342,FP1-F7_ord_01342,FP1-F7,01342,3,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_01423,FP1-F7_ord_01423,FP1-F7,01423,4,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_01432,FP1-F7_ord_01432,FP1-F7,01432,5,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_02134,FP1-F7_ord_02134,FP1-F7,02134,6,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_02314,FP1-F7_ord_02314,FP1-F7,02314,8,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_03124,FP1-F7_ord_03124,FP1-F7,03124,12,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_03214,FP1-F7_ord_03214,FP1-F7,03214,14,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_03412,FP1-F7_ord_03412,FP1-F7,03412,16,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_03421,FP1-F7_ord_03421,FP1-F7,03421,17,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_04123,FP1-F7_ord_04123,FP1-F7,04123,18,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_04132,FP1-F7_ord_04132,FP1-F7,04132,19,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_04312,FP1-F7_ord_04312,FP1-F7,04312,22,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_04321,FP1-F7_ord_04321,FP1-F7,04321,23,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_10234,FP1-F7_ord_10234,FP1-F7,10234,24,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_10243,FP1-F7_ord_10243,FP1-F7,10243,25,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_10423,FP1-F7_ord_10423,FP1-F7,10423,28,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12034,FP1-F7_ord_12034,FP1-F7,12034,30,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12043,FP1-F7_ord_12043,FP1-F7,12043,31,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12304,FP1-F7_ord_12304,FP1-F7,12304,32,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12340,FP1-F7_ord_12340,FP1-F7,12340,33,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12403,FP1-F7_ord_12403,FP1-F7,12403,34,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_12430,FP1-F7_ord_12430,FP1-F7,12430,35,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_13240,FP1-F7_ord_13240,FP1-F7,13240,39,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_14023,FP1-F7_ord_14023,FP1-F7,14023,42,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_20134,FP1-F7_ord_20134,FP1-F7,20134,48,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_21034,FP1-F7_ord_21034,FP1-F7,21034,54,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_21304,FP1-F7_ord_21304,FP1-F7,21304,56,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_21340,FP1-F7_ord_21340,FP1-F7,21340,57,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_21430,FP1-F7_ord_21430,FP1-F7,21430,59,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_23104,FP1-F7_ord_23104,FP1-F7,23104,62,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_23140,FP1-F7_ord_23140,FP1-F7,23140,63,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_23401,FP1-F7_ord_23401,FP1-F7,23401,64,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_23410,FP1-F7_ord_23410,FP1-F7,23410,65,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_24130,FP1-F7_ord_24130,FP1-F7,24130,69,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_24310,FP1-F7_ord_24310,FP1-F7,24310,71,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_30241,FP1-F7_ord_30241,FP1-F7,30241,75,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_30421,FP1-F7_ord_30421,FP1-F7,30421,77,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32014,FP1-F7_ord_32014,FP1-F7,32014,84,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32041,FP1-F7_ord_32041,FP1-F7,32041,85,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32104,FP1-F7_ord_32104,FP1-F7,32104,86,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32140,FP1-F7_ord_32140,FP1-F7,32140,87,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32401,FP1-F7_ord_32401,FP1-F7,32401,88,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_32410,FP1-F7_ord_32410,FP1-F7,32410,89,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_34021,FP1-F7_ord_34021,FP1-F7,34021,91,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_34201,FP1-F7_ord_34201,FP1-F7,34201,94,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_34210,FP1-F7_ord_34210,FP1-F7,34210,95,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_40123,FP1-F7_ord_40123,FP1-F7,40123,96,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_40132,FP1-F7_ord_40132,FP1-F7,40132,97,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_40312,FP1-F7_ord_40312,FP1-F7,40312,100,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_40321,FP1-F7_ord_40321,FP1-F7,40321,101,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41023,FP1-F7_ord_41023,FP1-F7,41023,102,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41032,FP1-F7_ord_41032,FP1-F7,41032,103,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41203,FP1-F7_ord_41203,FP1-F7,41203,104,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41230,FP1-F7_ord_41230,FP1-F7,41230,105,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41302,FP1-F7_ord_41302,FP1-F7,41302,106,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_41320,FP1-F7_ord_41320,FP1-F7,41320,107,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_42130,FP1-F7_ord_42130,FP1-F7,42130,111,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_42310,FP1-F7_ord_42310,FP1-F7,42310,113,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43012,FP1-F7_ord_43012,FP1-F7,43012,114,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43021,FP1-F7_ord_43021,FP1-F7,43021,115,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43102,FP1-F7_ord_43102,FP1-F7,43102,116,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43120,FP1-F7_ord_43120,FP1-F7,43120,117,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43201,FP1-F7_ord_43201,FP1-F7,43201,118,FP1-F7,graph_interictal_chb01_10
FP1-F7_ord_43210,FP1-F7_ord_43210,FP1-F7,43210,119,FP1-F7,graph_interictal_chb01_10
F7-T7_ord_01234,F7-T7_ord_01234,F7-T7,01234,0,F7-T7,graph_interictal_chb01_10
F7-T7_ord_01243,F7-T7_ord_01243,F7-T7,01243,1,F7-T7,graph_interictal_chb01_10
F7-T7_ord_01324,F7-T7_ord_01324,F7-T7,01324,2,F7-T7,graph_interictal_chb01_10
F7-T7_ord_01342,F7-T7_ord_01342,F7-T7,01342,3,F7-T7,graph_interictal_chb01_10
F7-T7_ord_01423,F7-T7_ord_01423,F7-T7,01423,4,F7-T7,graph_interictal_chb01_10
F7-T7_ord_01432,F7-T7_ord_01432,F7-T7,01432,5,F7-T7,graph_interictal_chb01_10
F7-T7_ord_02134,F7-T7_ord_02134,F7-T7,02134,6,F7-T7,graph_interictal_chb01_10
F7-T7_ord_02314,F7-T7_ord_02314,F7-T7,02314,8,F7-T7,graph_interictal_chb01_10
F7-T7_ord_03124,F7-T7_ord_03124,F7-T7,03124,12,F7-T7,graph_interictal_chb01_10
