source,target,weight
FP1-F7,FP1-F3,0.6594522803692279
FP1-F3,P3-O1,-0.6067535608808983
FP1-F3,FP2-F4,0.6992391053714159
FP1-F3,CZ-PZ,-0.6396596859485769
C3-P3,CZ-PZ,0.6335058589133027
FP2-F4,F4-C4,-0.6505469081174167
FP2-F4,C4-P4,-0.6000686904594381
F4-C4,FZ-CZ,0.8353895744142845
C4-P4,CZ-PZ,0.7082816711704234
FP2-F8,T8-P8-0,-0.7470808119764312
FP2-F8,FT9-FT10,0.7577406061420545
FP2-F8,T8-P8-1,-0.7470808119764312
F8-T8,P8-O2,-0.6660952465479936
T8-P8-0,FT9-FT10,-0.8084507247821088
T8-P8-0,T8-P8-1,1.0
P7-T7,T7-FT9,0.7612249711977178
FT9-FT10,T8-P8-1,-0.8084507247821089
